2010-01-25 15:14:09 Debug: Notice (8): Undefined property: CountriesController::$Collection in [APP\controllers\countries_controller.php, line 43]
2010-01-25 15:14:09 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\countries_controller.php, line 43]
2010-01-25 15:22:22 Debug: Notice (8): Undefined property: MineralsController::$Collection in [APP\controllers\minerals_controller.php, line 43]
2010-01-25 15:22:22 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\minerals_controller.php, line 43]
2010-01-25 17:15:13 Debug: Notice (8): Undefined property: CrystalSystemsController::$CrystalSystemp in [APP\controllers\crystal_systems_controller.php, line 20]
2010-01-25 17:15:13 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\crystal_systems_controller.php, line 20]
2010-01-25 17:16:04 Debug: Notice (8): Undefined property: CrystalSystemsController::$CrystalSystemp in [APP\controllers\crystal_systems_controller.php, line 20]
2010-01-25 17:16:04 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\crystal_systems_controller.php, line 20]
2010-01-25 17:50:43 Debug: Notice (8): Use of undefined constant role_count - assumed 'role_count' in [APP\views\users\admin_view.ctp, line 47]
2010-01-25 17:50:43 Debug: Notice (8): Use of undefined constant sample_count - assumed 'sample_count' in [APP\views\users\admin_view.ctp, line 87]
2010-01-27 14:40:07 Debug: Notice (8): Undefined variable: Html in [APP\views\helpers\my_html.php, line 10]
2010-01-27 14:40:40 Debug: Notice (8): Undefined variable: html in [APP\views\helpers\my_html.php, line 10]
2010-01-27 14:41:42 Debug: Notice (8): Undefined property: MyHtmlHelper::$html in [APP\views\helpers\my_html.php, line 8]
2010-01-27 14:44:03 Debug: Notice (8): Undefined property: MyHtmlHelper::$html in [APP\views\helpers\my_html.php, line 8]
2010-01-27 14:53:51 Debug: Notice (8): Undefined property: View::$myHtml in [APP\views\users\admin_index.ctp, line 45]
2010-01-27 15:03:59 Debug: Notice (8): Use of undefined constant countSamples - assumed 'countSamples' in [APP\views\samples\admin_filter.ctp, line 23]
2010-05-06 19:28:38 Debug: Notice (8): Undefined offset:  0 in [APP\views\samples\admin_index.ctp, line 64]
2010-11-30 10:22:38 Debug: Notice (8): Undefined variable: gpermissionList in [APP\models\permission.php, line 26]
2010-12-04 02:47:34 Debug: Notice (8): Undefined property: CrystalSystemsController::$CrystalSystems in [APP\controllers\crystal_systems_controller.php, line 11]
2010-12-04 02:48:21 Debug: Notice (8): Undefined variable: paginator in [APP\views\crystal_systems\index.ctp, line 5]
2010-12-04 02:49:39 Debug: Notice (8): Undefined variable: paginator in [APP\views\crystal_systems\index.ctp, line 5]
2010-12-04 13:22:29 Debug: Notice (8): Undefined index:  id in [APP\controllers\crystal_systems_controller.php, line 13]
2010-12-04 13:22:29 Debug: Notice (8): Undefined variable: query_text in [APP\models\crystal_system.php, line 82]
2010-12-04 13:26:40 Debug: Notice (8): Undefined index:  Mineral in [APP\controllers\crystal_systems_controller.php, line 13]
2010-12-04 13:26:40 Debug: Notice (8): Undefined variable: query_text in [APP\models\crystal_system.php, line 82]
2010-12-04 13:27:45 Debug: Notice (8): Undefined variable: query_text in [APP\models\crystal_system.php, line 82]
2010-12-04 13:47:00 Debug: Notice (8): Undefined index:  name_emg in [APP\views\crystal_systems\index.ctp, line 6]
2010-12-04 13:47:00 Debug: Notice (8): Undefined index:  name_emg in [APP\views\crystal_systems\index.ctp, line 14]
2010-12-04 13:48:56 Debug: Notice (8): Undefined index:  name_eng in [APP\views\crystal_systems\index.ctp, line 6]
2010-12-04 13:48:56 Debug: Notice (8): Undefined index:  name_eng in [APP\views\crystal_systems\index.ctp, line 14]
2010-12-04 13:50:18 Debug: Notice (8): Undefined index:  namegr in [APP\views\crystal_systems\index.ctp, line 14]
2010-12-04 15:26:32 Debug: Notice (8): Undefined index:  nameeng in [APP\views\crystal_systems\index.ctp, line 18]
2010-12-04 15:37:40 Debug: Notice (8): Undefined variable: mineras in [APP\views\crystal_systems\index.ctp, line 18]
2010-12-04 15:38:06 Debug: Notice (8): Undefined variable: mineras in [APP\views\crystal_systems\index.ctp, line 18]
2010-12-04 15:41:30 Debug: Notice (8): Use of undefined constant action - assumed 'action' in [APP\views\crystal_systems\index.ctp, line 19]
2010-12-04 15:42:02 Debug: Notice (8): Undefined variable: action in [APP\views\crystal_systems\index.ctp, line 19]
2010-12-04 16:19:58 Debug: Notice (8): Undefined property: DanaGroupsController::$CrystalSystem in [APP\controllers\dana_groups_controller.php, line 14]
